,0
0,1000382057.0
1,1000537349.0
2,100183000000.0
3,1000005587.0
4,1000358890.0
5,100181000000.0
6,1000009218.0
7,100182000000.0
8,100184000000.0
9,100180000000.0
10,1000005325.0
11,1000373999.0
12,1000283800.0
13,1000231668.0
14,100195162.0
15,1000318394.0
16,100023604.0
17,1000537402.0
18,1000393059.0
19,1000414702.0
20,1000353838.0
21,1000362201.0
22,1000136639.0
23,100084157.0
24,100052861.0
25,1000020914.0
26,1000042590.0
27,1000493973.0
28,100179000000.0
29,1000309892.0
30,1000152571.0
31,1000393204.0
32,1000300580.0
33,1000323971.0
34,1000024804.0
35,1000540434.0
36,1000210508.0
37,1000277985.0
38,1000442867.0
39,1000479073.0
40,1000377057.0
41,1000136146.0
42,100138219.0
43,1000060462.0
44,1000041352.0
45,100023629.0
46,1000375716.0
47,1000399774.0
48,1000232451.0
49,1000443074.0
50,100035751.0
51,100112872.0
52,1000095551.0
